Pokemon;Numero;Type1;Type2;Name_Stream;Base_HP;Base_Atk;Base_Def;Base_SpA;Base_SpD;Base_Spe
Mistigrix M;0678;Psychic;Psychic;Meowstic;74;48;76;83;81;104
Mistigrix F;0678_01;Psychic;Psychic;Meowstic-F;74;48;76;83;81;104
Monorpale;0679;Steel;Ghost;Honedge;45;80;100;35;37;28
Dimoclès;0680;Steel;Ghost;Doublade;59;110;150;45;49;35
Exagide;0681;Steel;Ghost;Aegislash;60;50;140;50;140;60
Exagide Forme Épée;0681_01;Steel;Ghost;Aegislash;60;140;50;140;50;60
Fluvetin;0682;Fairy;Fairy;Spritzee;78;52;60;63;65;23
Cocotine;0683;Fairy;Fairy;Aromatisse;101;72;72;99;89;29
Sucroquin;0684;Fairy;Fairy;Swirlix;62;48;66;59;57;49
Cupcanaille;0685;Fairy;Fairy;Slurpuff;82;80;86;85;75;72
Sepiatop;0686;Dark;Psychic;Inkay;53;54;53;37;46;45
Sepiatroce;0687;Dark;Psychic;Malamar;86;92;88;68;75;73
Opermine;0688;Rock;Water;Binacle;42;52;67;39;56;50
Golgopathe;0689;Rock;Water;Barbaracle;72;105;115;54;86;68
Venalgue;0690;Poison;Water;Skrelp;50;60;60;60;60;30
Kravarech;0691;Poison;Dragon;Dragalge;65;75;90;97;123;44
Flingouste;0692;Water;Water;Clauncher;50;53;62;58;63;44
Gamblast;0693;Water;Water;Clawitzer;71;73;88;120;89;59
Galvaran;0694;Electric;Normal;Helioptile;44;38;33;61;43;70
Iguolta;0695;Electric;Normal;Heliolisk;62;55;52;109;94;109
Ptyranidur;0696;Rock;Dragon;Tyrunt;58;89;77;45;45;48
Rexillius;0697;Rock;Dragon;Tyrantrum;82;121;119;69;59;71
Amagara;0698;Rock;Ice;Amaura;77;59;50;67;63;46
Dragmara;0699;Rock;Ice;Aurorus;123;77;72;99;92;58
Nymphali;0700;Fairy;Fairy;Sylveon;95;65;65;110;130;60
Brutalibré;0701;Fighting;Flying;Hawlucha;78;92;75;74;63;118
Dedenne;0702;Electric;Fairy;Dedenne;67;58;57;81;67;101
Strassie;0703;Rock;Fairy;Carbink;50;50;150;50;150;50
Mucuscule;0704;Dragon;Dragon;Goomy;45;50;35;55;75;40
Colimucus;0705;Dragon;Dragon;Sliggoo;68;75;53;83;113;60
Colimucus de Hisui;0705_01;Steel;Dragon;Sliggoo-Hisui;58;75;83;83;113;40
Muplodocus;0706;Dragon;Dragon;Goodra;90;100;70;110;150;80
Muplodocus de Hisui;0706_01;Steel;Dragon;Goodra-Hisui;80;100;100;110;150;60
Trousselin;0707;Steel;Fairy;Klefki;57;80;91;80;87;75
Brocélôme;0708;Ghost;Grass;Phantump;43;70;48;50;60;38
Desséliande;0709;Ghost;Grass;Trevenant;85;110;76;65;82;56
Pitrouille;0710;Ghost;Grass;Pumpkaboo;49;66;70;44;55;51
Pitrouille Taille Mini;0710;Ghost;Grass;Pumpkaboo-Small;44;66;70;44;55;56
Pitrouille Taille Maxi;0710;Ghost;Grass;Pumpkaboo-Large;54;66;70;44;55;46
Pitrouille Taille Ultra;0710;Ghost;Grass;Pumpkaboo-Super;59;66;70;44;55;41
Banshitrouye;0711;Ghost;Grass;Gourgeist;65;90;122;58;75;84
Banshitrouye Taille Mini;0711;Ghost;Grass;Gourgeist-Small;55;85;122;58;75;99
Banshitrouye Taille Maxi;0711;Ghost;Grass;Gourgeist-Large;75;95;122;58;75;69
Banshitrouye Taille Ultra;0711;Ghost;Grass;Gourgeist-Super;85;100;122;58;75;54
Grelaçon;0712;Ice;Ice;Bergmite;55;69;85;32;35;28
Séracrawl;0713;Ice;Ice;Avalugg;95;117;184;44;46;28
Séracrawl de Hisui;0713_01;Ice;Rock;Avalugg-Hisui;95;127;184;34;36;38
Sonistrelle;0714;Flying;Dragon;Noibat;40;30;35;45;40;55
Bruyverne;0715;Flying;Dragon;Noivern;85;70;80;97;80;123
Xerneas;0716;Fairy;Fairy;Xerneas;126;131;95;131;98;99
Xerneas Paisible;0716_01;Fairy;Fairy;Xerneas;126;131;95;131;98;99
Yveltal;0717;Dark;Flying;Yveltal;126;131;95;131;98;99
Zygarde 10%;0718;Dragon;Ground;Zygarde-50%;108;100;121;81;95;95
Zygarde 50%;0718_01;Dragon;Ground;Zygarde-10%;54;100;71;61;85;115
Zygarde 100%;0718_02;Dragon;Ground;Zygarde-Complete;216;100;121;91;95;85
Diancie;0719;Rock;Fairy;Diancie;50;100;150;100;150;50
Hoopa;0720;Psychic;Ghost;Hoopa-Confined;80;110;60;150;130;70
Hoopa Déchaîné;0720_01;Psychic;Dark;Hoopa-Unbound;80;160;60;170;130;80
Volcanion;0721;Fire;Water;Volcanion;80;110;120;130;90;70
Brindibou;0722;Grass;Flying;Rowlet;68;55;55;50;50;42
Efflèche;0723;Grass;Flying;Dartrix;78;75;75;70;70;52
Archéduc;0724;Grass;Ghost;Decidueye;78;107;75;100;100;70
Archéduc de Hisui;0724_01;Grass;Fighting;Decidueye-Hisui;88;112;80;95;95;60
Flamiaou;0725;Fire;Fire;Litten;45;65;40;60;40;70
Matoufeu;0726;Fire;Fire;Torracat;65;85;50;80;50;90
Félinferno;0727;Fire;Dark;Incineroar;95;115;90;80;90;60
Otaquin;0728;Water;Water;Popplio;50;54;54;66;56;40
Otarlette;0729;Water;Water;Brionne;60;69;69;91;81;50
Oratoria;0730;Water;Fairy;Primarina;80;74;74;126;116;60
Picassaut;0731;Normal;Flying;Pikipek;35;75;30;30;30;65
Piclairon;0732;Normal;Flying;Trumbeak;55;85;50;40;50;75
Bazoucan;0733;Normal;Flying;Toucannon;80;120;75;75;75;60
Manglouton;0734;Normal;Normal;Yungoos;48;70;30;30;30;45
Argouste;0735;Normal;Normal;Gumshoos;88;110;60;55;60;45
Larvibule;0736;Bug;Bug;Grubbin;47;62;45;55;45;46
Chrysapile;0737;Bug;Electric;Charjabug;57;82;95;55;75;36
Lucanon;0738;Bug;Electric;Vikavolt;77;70;90;145;75;43
Crabagarre;0739;Fighting;Fighting;Crabrawler;47;82;57;42;47;63
Crabominable;0740;Fighting;Ice;Crabominable;97;132;77;62;67;43
Plumeline Style Flamenco;0741;Fire;Flying;Oricorio-Baile;75;70;70;98;70;93
Plumeline Style Pom-Pom;0741_01;Electric;Flying;Oricorio-Pom-Pom;75;70;70;98;70;93
Plumeline Style Hula;0741_02;Psychic;Flying;Oricorio-Pa'u;75;70;70;98;70;93
Plumeline Style Buy?;0741_03;Ghost;Flying;Oricorio-Sensu;75;70;70;98;70;93
Bombydou;0742;Bug;Fairy;Cutiefly;40;45;40;55;40;84
Rubombelle;0743;Bug;Fairy;Ribombee;60;55;60;95;70;124
Rocabot;0744;Rock;Rock;Rockruff;45;65;40;30;40;60
Lougaroc Diurne;0745;Rock;Rock;Lycanroc;75;115;65;55;65;112
Lougaroc Nocturne;0745_01;Rock;Rock;Lycanroc-Midnight;85;115;75;55;75;82
Lougaroc Crépusculaire;0745_02;Rock;Rock;Lycanroc-Dusk;75;117;65;55;65;110
Froussardine;0746;Water;Water;Wishiwashi;45;20;20;25;25;40
Froussardine Forme Banc;0746_01;Water;Water;Wishiwashi-School;45;140;130;140;135;30
Vorastérie;0747;Poison;Water;Mareanie;50;53;62;43;52;45
Prédastérie;0748;Poison;Water;Toxapex;50;63;152;53;142;35
Tiboudet;0749;Ground;Ground;Mudbray;70;100;70;45;55;45
Bourrinos;0750;Ground;Ground;Mudsdale;100;125;100;55;85;35
Araqua;0751;Water;Bug;Dewpider;38;40;52;40;72;27
Tarenbulle;0752;Water;Bug;Araquanid;68;70;92;50;132;42
Mimantis;0753;Grass;Grass;Fomantis;40;55;35;50;35;35
Floramantis;0754;Grass;Grass;Lurantis;70;105;90;80;90;45
Spododo;0755;Grass;Fairy;Morelull;40;35;55;65;75;15
Lampignon;0756;Grass;Fairy;Shiinotic;60;45;80;90;100;30
Tritox;0757;Poison;Fire;Salandit;48;44;40;71;40;77
Malamandre;0758;Poison;Fire;Salazzle;68;64;60;111;60;117
Nounourson;0759;Normal;Fighting;Stufful;70;75;50;45;50;50
Chelours;0760;Normal;Fighting;Bewear;120;125;80;55;60;60
Croquine;0761;Grass;Grass;Bounsweet;42;30;38;30;38;32
Candine;0762;Grass;Grass;Steenee;52;40;48;40;48;62
Sucreine;0763;Grass;Grass;Tsareena;72;120;98;50;98;72
Guérilande;0764;Fairy;Fairy;Comfey;51;52;90;82;110;100
Gouroutan;0765;Normal;Psychic;Oranguru;90;60;80;90;110;60
Quartermac;0766;Fighting;Fighting;Passimian;100;120;90;40;60;80
Sovkipou;0767;Bug;Water;Wimpod;25;35;40;20;30;80
Sarmuraï;0768;Bug;Water;Golisopod;75;125;140;60;90;40
Bacabouh;0769;Ghost;Ground;Sandygast;55;55;80;70;45;15
Trépassable;0770;Ghost;Ground;Palossand;85;75;110;100;75;35
Concombaffe;0771;Water;Water;Pyukumuku;55;60;130;30;130;5
Type:0;0772;Normal;Normal;Type:Null;95;95;95;95;95;59
Silvallié;0773;Normal;Normal;Silvally;95;95;95;95;95;95
Météno;0774;Rock;Flying;Minior;60;100;60;100;60;120
Météno Météore;0774_01;Rock;Flying;Minior-Meteor;60;60;100;60;100;60
Dodoala;0775;Normal;Normal;Komala;65;115;65;75;95;65
Boumata;0776;Fire;Dragon;Turtonator;60;78;135;91;85;36
Togedemaru;0777;Electric;Steel;Togedemaru;65;98;63;40;73;96
Mimiqui;0778;Ghost;Fairy;Mimikyu;55;90;80;50;105;96
Denticrisse;0779;Water;Psychic;Bruxish;68;105;70;70;70;92
Draïeul;0780;Normal;Dragon;Drampa;78;60;85;135;91;36
Sinistrail;0781;Ghost;Grass;Dhelmise;70;131;100;86;90;40
Bébécaille;0782;Dragon;Dragon;Jangmo-o;45;55;65;45;45;45
Écaïd;0783;Dragon;Fighting;Hakamo-o;55;75;90;65;70;65
Ékaïser;0784;Dragon;Fighting;Kommo-o;75;110;125;100;105;85
Tokorico;0785;Electric;Fairy;Tapu Koko;70;115;85;95;75;130
Tokopiyon;0786;Psychic;Fairy;Tapu Lele;70;85;75;130;115;95
Tokotoro;0787;Grass;Fairy;Tapu Bulu;70;130;115;85;95;75
Tokopisco;0788;Water;Fairy;Tapu Fini;70;75;115;95;130;85
Cosmog;0789;Psychic;Psychic;Cosmog;43;29;31;29;31;37
Cosmovum;0790;Psychic;Psychic;Cosmoem;43;29;131;29;131;37
Solgaleo;0791;Psychic;Steel;Solgaleo;137;137;107;113;89;97
Lunala;0792;Psychic;Ghost;Lunala;137;113;89;137;107;97
Zéroïd;0793;Rock;Poison;Nihilego;109;53;47;127;131;103
Mouscoto;0794;Bug;Fighting;Buzzwole;107;139;139;53;53;79
Cancrelove;0795;Bug;Fighting;Pheromosa;71;137;37;137;37;151
Câblifère;0796;Electric;Electric;Xurkitree;83;89;71;173;71;83
Bamboiselle;0797;Steel;Flying;Celesteela;97;101;103;107;101;61
Katagami;0798;Grass;Steel;Kartana;59;181;131;59;31;109
Engloutyran;0799;Dark;Dragon;Guzzlord;223;101;53;97;53;43
Necrozma;0800;Psychic;Psychic;Necrozma;97;107;101;127;89;79
Necrozma Crinière du Couchant;0800_01;Psychic;Steel;Necrozma-Dusk-Mane;97;157;127;113;109;77
Necrozma Ailes de l'Aurore;0800_02;Psychic;Ghost;Necrozma-Dawn-Wings;97;113;109;157;127;77
Magearna;0801;Steel;Fairy;Magearna;80;95;115;130;115;65
Marshadow;0802;Fighting;Ghost;Marshadow;90;125;80;90;90;125
Vémini;0803;Poison;Poison;Poipole;67;73;67;73;67;73
Mandrillon;0804;Poison;Dragon;Naganadel;73;73;73;127;73;121
Ama-Ama;0805;Rock;Steel;Stakataka;61;131;211;53;101;13
Pierroteknik;0806;Fire;Ghost;Blacephalon;53;127;53;151;79;107
Zeraora;0807;Electric;Electric;Zeraora;88;112;75;102;80;143
Meltan;0808;Steel;Steel;Meltan;46;65;65;55;35;34
Melmetal;0809;Steel;Steel;Melmetal;135;143;143;80;65;34
Ouistempo;0810;Grass;Grass;Grookey;50;65;50;40;40;65
Badabouin;0811;Grass;Grass;Thwackey;70;85;70;55;60;80
Gorythmic;0812;Grass;Grass;Rillaboom;100;125;90;60;70;85
Flambino;0813;Fire;Fire;Scorbunny;50;71;40;40;40;69
Lapyro;0814;Fire;Fire;Raboot;65;86;60;55;60;94
Pyrobut;0815;Fire;Fire;Cinderace;80;116;75;65;75;119
Larméléon;0816;Water;Water;Sobble;50;40;40;70;40;70
Arrozard;0817;Water;Water;Drizzile;65;60;55;95;55;90
Lézargus;0818;Water;Water;Inteleon;70;85;65;125;65;120
Rongourmand;0819;Normal;Normal;Skwovet;70;55;55;35;35;25
Rongrigou;0820;Normal;Normal;Greedent;120;95;95;55;75;20
Minisange;0821;Flying;Flying;Rookidee;38;47;35;33;35;57
Bleuseille;0822;Flying;Flying;Corvisquire;68;67;55;43;55;77
Corvaillus;0823;Flying;Steel;Corviknight;98;87;105;53;85;67
Larvadar;0824;Bug;Bug;Blipbug;25;20;20;25;45;45
Coléodôme;0825;Bug;Psychic;Dottler;50;35;80;50;90;30
Astronelle;0826;Bug;Psychic;Orbeetle;60;45;110;80;120;90
Goupilou;0827;Dark;Dark;Nickit;40;28;28;47;52;50
Roublenard;0828;Dark;Dark;Thievul;70;58;58;87;92;90
Tournicoton;0829;Grass;Grass;Gossifleur;40;40;60;40;60;10
Blancoton;0830;Grass;Grass;Eldegoss;60;50;90;80;120;60
Moumouton;0831;Normal;Normal;Wooloo;42;40;55;40;45;48
Moumouflon;0832;Normal;Normal;Dubwool;72;80;100;60;90;88
Khélocrok;0833;Water;Water;Chewtle;50;64;50;38;38;44
Torgamord;0834;Water;Rock;Drednaw;90;115;90;48;68;74
Voltoutou;0835;Electric;Electric;Yamper;59;45;50;40;50;26
Fulgudog;0836;Electric;Electric;Boltund;69;90;60;90;60;121
Charbi;0837;Rock;Rock;Rolycoly;30;40;50;40;50;30
Wagomine;0838;Rock;Fire;Carkol;80;60;90;60;70;50
Monthracite;0839;Rock;Fire;Coalossal;110;80;120;80;90;30
Verpom;0840;Grass;Dragon;Applin;40;40;80;40;40;20
Pomdrapi;0841;Grass;Dragon;Flapple;70;110;80;95;60;70
Dratatin;0842;Grass;Dragon;Appletun;110;85;80;100;80;30
Dunaja;0843;Ground;Ground;Silicobra;52;57;75;35;50;46
Dunaconda;0844;Ground;Ground;Sandaconda;72;107;125;65;70;71
Nigosier;0845;Flying;Water;Cramorant;70;85;55;85;95;85
Nigosier B;0845_01;Flying;Water;Cramorant;70;85;55;85;95;85
Nigosier B;0845_02;Flying;Water;Cramorant;70;85;55;85;95;85
Embrochet;0846;Water;Water;Arrokuda;41;63;40;40;30;66
Hastacuda;0847;Water;Water;Barraskewda;61;123;60;60;50;136
Toxizap;0848;Electric;Poison;Toxel;40;38;35;54;35;40
Salarsen Aigûe;0849;Electric;Poison;Toxtricity;75;98;70;114;70;75
Salarsen Grave;0849_01;Electric;Poison;Toxtricity;75;98;70;114;70;75
Grillepattes;0850;Fire;Bug;Sizzlipede;50;65;45;50;50;45
Scolocendre;0851;Fire;Bug;Centiskorch;100;115;65;90;90;65
Poulpaf;0852;Fighting;Fighting;Clobbopus;50;68;60;50;50;32
Krakos;0853;Fighting;Fighting;Grapploct;80;118;90;70;80;42
Théffroi;0854;Ghost;Ghost;Sinistea;40;45;45;74;54;50
Polthégeist;0855;Ghost;Ghost;Polteageist;60;65;65;134;114;70
Bibichut;0856;Psychic;Psychic;Hatenna;42;30;45;56;53;39
Chapotus;0857;Psychic;Psychic;Hattrem;57;40;65;86;73;49
Sorcilence;0858;Psychic;Fairy;Hatterene;57;90;95;136;103;29
Grimalin;0859;Dark;Fairy;Impidimp;45;45;30;55;40;50
Fourbelin;0860;Dark;Fairy;Morgrem;65;60;45;75;55;70
Angoliath;0861;Dark;Fairy;Grimmsnarl;95;120;65;95;75;60
Ixon;0862;Dark;Normal;Obstagoon;93;90;101;60;81;95
Berserkatt;0863;Steel;Steel;Perrserker;70;110;100;50;60;50
Corayôme;0864;Ghost;Ghost;Cursola;60;95;50;145;130;30
Palarticho;0865;Fighting;Fighting;Sirfetch'd;62;135;95;68;82;65
M. Glaquette;0866;Ice;Psychic;Mr.Rime;80;85;75;110;100;70
Tutétékri;0867;Ground;Ghost;Runerigus;58;95;145;50;105;30
Crémy;0868;Fairy;Fairy;Milcery;45;40;40;50;61;34
Charmilly;0869;Fairy;Fairy;Alcremie;65;60;75;110;121;64
Hexadron;0870;Fighting;Fighting;Falinks;65;100;100;70;60;75
Wattapik;0871;Electric;Electric;Pincurchin;48;101;95;91;85;15
Frissonille;0872;Ice;Bug;Snom;30;25;35;45;30;20
Beldeneige;0873;Ice;Bug;Frosmoth;70;65;60;125;90;65
Dolman;0874;Rock;Rock;Stonjourner;100;125;135;20;20;70
Bekaglaçon;0875;Ice;Ice;Eiscue;75;80;110;65;90;50
Dolman;00875_01;Ice;Ice;Eiscue-Noice;75;80;70;65;50;130
Wimessir Mâle;0876;Psychic;Normal;Indeedee;60;65;55;105;95;95
Wimessir Femelle;0876_01;Psychic;Normal;Indeedee-F;70;55;65;95;105;85
Morpeko;0877;Electric;Dark;Morpeko;58;95;58;70;58;97
Morpeko Affamé;0877_01;Electric;Dark;Morpeko;58;95;58;70;58;97
Charibari;0878;Steel;Steel;Cufant;72;80;49;40;49;40
Pachyradjah;0879;Steel;Steel;Copperajah;122;130;69;80;69;30
Galvagon;0880;Electric;Dragon;Dracozolt;90;100;90;80;70;75
Galvagla;0881;Electric;Ice;Arctozolt;90;100;90;90;80;55
Hydragon;0882;Water;Dragon;Dracovish;90;90;100;70;80;75
Hydragla;0883;Water;Ice;Arctovish;90;90;100;80;90;55
Duralugon;0884;Steel;Dragon;Duraludon;70;95;115;120;50;85
Fantyrm;0885;Dragon;Ghost;Dreepy;28;60;30;40;30;82
Dispareptil;0886;Dragon;Ghost;Drakloak;68;80;50;60;50;102
Lanssorien;0887;Dragon;Ghost;Dragapult;88;120;75;100;75;142
Zacian;0888;Fairy;Fairy;Zacian;92;120;115;80;115;138
Zacian Épée Suprême;0888_01;Fairy;Steel;Zacian-Crowned;92;150;115;80;115;148
Zamazenta;0889;Fighting;Fighting;Zamazenta;92;120;115;80;115;138
Zamazenta Bouclier Suprême;0889_01;Fighting;Steel;Zamazenta-Crowned;92;120;140;80;140;128
Éthernatos;0890;Poison;Dragon;Eternatus;140;85;95;145;95;130
Wushours;0891;Fighting;Fighting;Kubfu;60;90;60;53;50;72
Shifours Style Poing Final;0892;Fighting;Dark;Urshifu;100;130;100;63;60;97
Shifours Style Mille Poings;0892;Fighting;Water;Urshifu-Rapid-Strike;100;130;100;63;60;97
Zarude;0893;Dark;Grass;Zarude;105;120;105;70;95;105
Regieleki;0894;Electric;Electric;Regieleki;80;100;50;100;50;200
Regidrago;0895;Dragon;Dragon;Regidrago;200;100;50;100;50;80
Blizzeval;0896;Ice;Ice;Glastrier;100;145;130;65;110;30
Spectreval;0897;Ghost;Ghost;Spectrier;100;65;60;145;80;130
Sylveroy;0898;Psychic;Grass;Calyrex;100;80;80;80;80;80
Sylveroy Cavalier du Froid;0898_01;Psychic;Ice;Calyrex-Ice;100;165;150;85;130;50
Sylveroy Cavalier d'Effroi;0898_02;Psychic;Ghost;Calyrex-Shadow;100;85;80;165;100;150
Cerbyllin;0899;Normal;Psychic;Wyrdeer;103;105;72;105;75;65
Hachécateur;0900;Bug;Rock;Kleavor;70;130;95;45;75;85
Ursaking;0901;Ground;Normal;Ursaluna;130;140;105;45;80;50
Ursaking Lune Vermeille;0901_01;Ground;Normal;Ursaluna-Bloodmoon;113;70;120;135;65;52
Paragruel Mâle;0902;Water;Ghost;Basculegion;120;112;65;80;75;78
Paragruel Femelle;0902_01;Water;Ghost;Basculegion-F;120;92;65;100;75;78
Farfurex;0903;Fighting;Poison;Sneasler;80;130;60;40;80;120
Qwilpik;0904;Dark;Poison;Overqwil;85;115;95;65;65;85
Amovénus Avatar;0905;Fairy;Flying;Enamorus-Incarnate;74;115;70;135;80;106
Amovénus Totémique;0905_01;Fairy;Flying;Enamorus-Therian;74;115;110;135;100;46
Poussacha;0906;Grass;Grass;Sprigatito;40;61;54;45;45;65
Matourgeon;0907;Grass;Grass;Floragato;61;80;63;60;63;83
Miascarade;0908;Grass;Dark;Meowscarada;76;110;70;81;70;123
Chochodile;0909;Fire;Fire;Fuecoco;67;45;59;63;40;36
Crocogril;0910;Fire;Fire;Crocalor;81;55;78;90;58;49
Flamigator;0911;Fire;Ghost;Skeledirge;104;75;100;110;75;66
Coiffeton;0912;Water;Water;Quaxly;55;65;45;50;45;50
Canarbello;0913;Water;Water;Quaxwell;70;85;65;65;60;65
Palmaval;0914;Water;Fighting;Quaquaval;85;120;80;85;75;85
Gourmelet;0915;Normal;Normal;Lechonk;54;45;40;35;45;35
Fragroin Mâle;0916;Normal;Normal;Oinkologne;110;100;75;59;80;65
Fragroin Femelle;0916_01;Normal;Normal;Oinkologne-F;115;90;70;59;90;65
Tissenboule;0917;Bug;Bug;Tarountula;35;41;45;29;40;20
Filentrappe;0918;Bug;Bug;Spidops;60;79;92;52;86;35
Lilliterelle;0919;Bug;Bug;Nymble;33;46;40;21;25;45
Gambex;0920;Bug;Dark;Lokix;71;102;78;52;55;92
Pohm;0921;Electric;Electric;Pawmi;45;50;20;40;25;60
Pohmotte;0922;Electric;Fighting;Pawmo;60;75;40;50;40;85
Pohmarmotte;0923;Electric;Fighting;Pawmot;70;115;70;70;60;105
Compagnol;0924;Normal;Normal;Tandemaus;50;50;45;40;45;75
Famignol Famille de Trois;0925;Normal;Normal;Maushold;74;75;70;65;75;111
Famignol Famille de Quatre;0925_01;Normal;Normal;Maushold-Four;74;75;70;65;75;111
Pâtachiot;0926;Fairy;Fairy;Fidough;37;55;70;30;55;65
Briochien;0927;Fairy;Fairy;Dachsbun;57;80;115;50;80;95
Olivini;0928;Grass;Normal;Smoliv;41;35;45;58;51;30
Olivado;0929;Grass;Normal;Dolliv;52;53;60;78;78;33
Arboliva;0930;Grass;Normal;Arboliva;78;69;90;125;109;39
Tapatoès Plumage Vert;0931;Normal;Flying;Squawkabilly;82;96;51;45;51;92
Tapatoès Plumage Bleu;0931_01;Normal;Flying;Squawkabilly;82;96;51;45;51;92
Tapatoès Plumage Jaune;0931_02;Normal;Flying;Squawkabilly;82;96;51;45;51;92
Tapatoès Plumage Blanc;0931_03;Normal;Flying;Squawkabilly;82;96;51;45;51;92
Selutin;0932;Rock;Rock;Nacli;55;55;75;35;35;25
Amassel;0933;Rock;Rock;Naclstack;60;60;100;35;65;35
Gigansel;0934;Rock;Rock;Garganacl;100;100;130;45;90;35
Charbambin;0935;Fire;Fire;Charcadet;40;50;40;50;40;35
Carmadura;0936;Fire;Psychic;Armarouge;85;60;100;125;80;75
Malvalame;0937;Fire;Ghost;Ceruledge;75;125;80;60;100;85
Têtampoule;0938;Electric;Electric;Tadbulb;61;31;41;59;35;45
Ampibidou;0939;Electric;Electric;Bellibolt;109;64;91;103;83;45
Zapétrel;0940;Electric;Flying;Wattrel;40;40;35;55;40;70
Fulgulairo;0941;Electric;Flying;Kilowattrel;70;70;60;105;60;125
Grondogue;0942;Dark;Dark;Maschiff;60;78;60;40;51;51
Dogrino;0943;Dark;Dark;Mabosstiff;80;120;90;60;70;85
Gribouraigne;0944;Poison;Normal;Shroodle;40;65;35;40;35;75
Tag-Tag;0945;Poison;Normal;Grafaiai;63;95;65;80;72;110
Virovent;0946;Grass;Ghost;Bramblin;40;65;30;45;35;60
Virevorreur;0947;Grass;Ghost;Brambleghast;55;115;70;80;70;90
Terracool;0948;Ground;Grass;Toedscool;40;40;35;50;100;70
Terracruel;0949;Ground;Grass;Toedscruel;80;70;65;80;120;100
Craparoi;0950;Rock;Rock;Klawf;70;100;115;35;55;75
Pimito;0951;Grass;Grass;Capsakid;50;62;40;62;40;50
Scovilain;0952;Grass;Fire;Scovillain;65;108;65;108;65;75
Léboulérou;0953;Bug;Bug;Rellor;41;50;60;31;58;30
Bérasca;0954;Bug;Psychic;Rabsca;75;50;85;115;100;45
Flotillon;0955;Psychic;Psychic;Flittle;30;35;30;55;30;75
Cléopsytra;0956;Psychic;Psychic;Espathra;95;60;60;101;60;105
Forgerette;0957;Fairy;Steel;Tinkatink;50;45;45;35;64;58
Forgella;0958;Fairy;Steel;Tinkatuff;65;55;55;45;82;78
Forgelina;0959;Fairy;Steel;Tinkaton;85;75;77;70;105;94
Taupikeau;0960;Water;Water;Wiglett;10;55;25;35;25;95
Triopikeau;0961;Water;Water;Wugtrio;35;100;50;50;70;120
Lestombaile;0962;Flying;Dark;Bombirdier;70;103;85;60;85;82
Dofin;0963;Water;Water;Finizen;70;45;40;45;40;75
Superdofin;0964;Water;Water;Palafin;100;70;72;53;62;100
Superdofin Forme Super;00964_01;Water;Water;Palafin;100;160;97;106;87;100
Vrombi;0965;Steel;Poison;Varoom;45;70;63;30;45;47
Vrombotor;0966;Steel;Poison;Revavroom;80;119;90;54;67;90
Motorizard;0967;Dragon;Normal;Cyclizar;70;95;65;85;65;121
Ferdeter;0968;Steel;Steel;Orthworm;70;85;145;60;55;65
Germéclat;0969;Rock;Poison;Glimmet;48;35;42;105;60;60
Floréclat;0970;Rock;Poison;Glimmora;83;55;90;130;81;86
Toutombe;0971;Ghost;Ghost;Greavard;50;61;60;30;55;34
Tomberro;0972;Ghost;Ghost;Houndstone;72;101;100;50;97;68
Flamenroule;0973;Flying;Fighting;Flamigo;82;115;74;75;64;90
Piétacé;0974;Ice;Ice;Cetoddle;108;68;45;30;40;43
Balbalèze;0975;Ice;Ice;Cetitan;170;113;65;45;55;73
Délestin;0976;Water;Psychic;Veluza;90;102;73;78;65;70
Oyacata;0977;Water;Water;Dondozo;150;100;115;65;65;35
Nigirigon Courbée;0978;Dragon;Water;Tatsugiri-Curly;68;50;60;120;95;82
Nigirigon Affalée;0978_01;Dragon;Water;Tatsugiri-Droopy;68;50;60;120;95;82
Nigirigon Raide;0978_02;Dragon;Water;Tatsugiri-Stretchy;68;50;60;120;95;82
Courrousinge;0979;Fighting;Ghost;Annihilape;110;115;80;50;90;90
Terraiste;0980;Poison;Ground;Clodsire;130;75;60;45;100;20
Farigiraf;0981;Normal;Psychic;Farigiraf;120;90;70;110;70;60
Deusolourdo;0982;Normal;Normal;Dudunsparce;125;100;80;85;75;55
Deusolourdo Triple;0982_01;Normal;Normal;Dudunsparce;125;100;80;85;75;55
Scalpereur;0983;Dark;Steel;Kingambit;100;135;120;60;85;50
Fort-Ivoire;0984;Ground;Fighting;Great Tusk;115;131;131;53;53;87
Hurle-Queue;0985;Fairy;Psychic;Scream Tail;115;65;99;65;115;111
Fongus-Furie;0986;Grass;Dark;Brute Bonnet;111;127;99;79;99;55
Flotte-Mèche;0987;Ghost;Fairy;Flutter Mane;55;55;55;135;135;135
Rampe-Ailes;0988;Bug;Fighting;Slither Wing;85;135;79;85;105;81
Pelage-Sablé;0989;Electric;Ground;Sandy Shocks;85;81;97;121;85;101
Roue-de-Fer;0990;Ground;Steel;Iron Treads;90;112;120;72;70;106
Hotte-de-Fer;0991;Ice;Water;Iron Bundle;56;80;114;124;60;136
Paume-de-Fer;0992;Fighting;Electric;Iron Hands;154;140;108;50;68;50
Têtes-de-Fer;0993;Dark;Flying;Iron Jugulis;94;80;86;122;80;108
Mite-de-Fer;0994;Fire;Poison;Iron Moth;80;70;60;140;110;110
Épine-de-Fer;0995;Rock;Electric;Iron Thorns;100;134;110;70;84;72
Frigodo;0996;Dragon;Ice;Frigibax;65;75;45;35;45;55
Cryodo;0997;Dragon;Ice;Arctibax;90;95;66;45;65;62
Glaivodo;0998;Dragon;Ice;Baxcalibur;115;145;92;75;86;87
